เรียกเก็บเงินถึง,"ReadyPlanet Co., Ltd."
หมายเลขใบแจ้งหนี้,3865399990
วันที่ในใบแจ้งหนี้,28 ก.พ. 2564
วันครบกำหนด,14 เม.ย. 2564
รหัสการเรียกเก็บเงิน,5350-7423-8195
สกุลเงิน,THB
จำนวนเงินในใบแจ้งหนี้,"21,188,543.15"

ผลิตภัณฑ์,Google Ads

รหัสบัญชี,บัญชี,งบประมาณบัญชี,ใบสั่งซื้อ,คำอธิบาย,ปริมาณ,หน่วย,จำนวน
490-284-3960,"Advancegroupasia.com, Package  ,ทุกวันที่ 25","ReadyPlanet Co., Ltd. - Nov 1, 2017",,R-Dynamic Campaign (dae0d9d342c9e7483cbe140e1fa9ba47),5264,การคลิก,"3,040.00"
490-284-3960,"Advancegroupasia.com, Package  ,ทุกวันที่ 25","ReadyPlanet Co., Ltd. - Nov 1, 2017",,GDN,6471,การคลิก,"2,957.97"
490-284-3960,"Advancegroupasia.com, Package  ,ทุกวันที่ 25","ReadyPlanet Co., Ltd. - Nov 1, 2017",,Search_HYGIENE SERVICE,168,การคลิก,"1,866.16"
490-284-3960,"Advancegroupasia.com, Package  ,ทุกวันที่ 25","ReadyPlanet Co., Ltd. - Nov 1, 2017",,07-Search - พ่นฆ่าเชื้อ  ประเทศไทย,68,การคลิก,"1,306.40"
490-284-3960,"Advancegroupasia.com, Package  ,ทุกวันที่ 25","ReadyPlanet Co., Ltd. - Nov 1, 2017",,กิจกรรมที่ไม่ถูกต้อง,,,-323.45
343-837-4645,Aero-roof.com,"ReadyPlanet Co., Ltd. - Feb 13, 2020",,Search-Aero-roof/EN,637,การคลิก,"10,577.49"
343-837-4645,Aero-roof.com,"ReadyPlanet Co., Ltd. - Feb 13, 2020",,Search-Aero-roof/TH,1493,การคลิก,"10,278.57"
907-714-7615,AeroFlex.co.th,907-714-7615,,Search-Aeroflex.co.th/Th,1106,การคลิก,"8,925.43"
907-714-7615,AeroFlex.co.th,907-714-7615,,Search-Aeroflex.co.th/en,194,การคลิก,"2,571.89"
820-651-4384,Agcinnovation.co.th,820-651-4384,,Search Agcinnovation 400/D,28,การคลิก,923.54
980-576-3821,"Airkingdom.net,G Pro 3 Months","ReadyPlanet Co., Ltd. - Jul 16, 2020",,Search_บริการล้างแอร์  [Mon-Fri 6am. - 9pm.  ],819,การคลิก,"14,070.24"
980-576-3821,"Airkingdom.net,G Pro 3 Months","ReadyPlanet Co., Ltd. - Jul 16, 2020",,Search_บริการล้างแอร์  [Sat - Sun 6am.- 9pm.],312,การคลิก,"5,113.60"
980-576-3821,"Airkingdom.net,G Pro 3 Months","ReadyPlanet Co., Ltd. - Jul 16, 2020",,Search_บริการล้างแอร์  [Mon-Fri 24hour. ] ดอนเมือง,148,การคลิก,"3,137.92"
980-576-3821,"Airkingdom.net,G Pro 3 Months","ReadyPlanet Co., Ltd. - Jul 16, 2020",,Search_บริการล้างแอร์  [Sat - Sun 24hour.] ดอนเมือง,80,การคลิก,"1,673.26"
419-284-7276,"Aluhomedecoration.com, Google Ads Value,_คุณชาญชัย","ReadyPlanet Co., Ltd.",โยกมาจาก655-411-6732,Search-มุ้งจีบ-rank,506,การคลิก,"17,872.43"
419-284-7276,"Aluhomedecoration.com, Google Ads Value,_คุณชาญชัย","ReadyPlanet Co., Ltd.",โยกมาจาก655-411-6732,Search-มุ้งลวด-rank,317,การคลิก,"10,958.92"
419-284-7276,"Aluhomedecoration.com, Google Ads Value,_คุณชาญชัย","ReadyPlanet Co., Ltd.",โยกมาจาก655-411-6732,GDN-intent ซื้อบ้านใหม่,20823,การคลิก,"8,840.34"
419-284-7276,"Aluhomedecoration.com, Google Ads Value,_คุณชาญชัย","ReadyPlanet Co., Ltd.",โยกมาจาก655-411-6732,RMT,1851,การคลิก,"1,185.90"
419-284-7276,"Aluhomedecoration.com, Google Ads Value,_คุณชาญชัย","ReadyPlanet Co., Ltd.",โยกมาจาก655-411-6732,Youtube-ดารา,9948,การคลิก,"1,163.02"
419-284-7276,"Aluhomedecoration.com, Google Ads Value,_คุณชาญชัย","ReadyPlanet Co., Ltd.",โยกมาจาก655-411-6732,R-Dynamic Campaign (9505c57e0c845d8cdba579daccdeaef0),1583,การคลิก,"1,154.97"
419-284-7276,"Aluhomedecoration.com, Google Ads Value,_คุณชาญชัย","ReadyPlanet Co., Ltd.",โยกมาจาก655-411-6732,เครดิตจากการแสดงผลเกินงบ,,,-5.41
419-284-7276,"Aluhomedecoration.com, Google Ads Value,_คุณชาญชัย","ReadyPlanet Co., Ltd.",โยกมาจาก655-411-6732,กิจกรรมที่ไม่ถูกต้อง,,,-75.20
107-153-4376,"Amm-car.com, 19 Oct 2010,","ReadyPlanet Co., Ltd.",,Amm-car_เน้นอันดับ,84,การคลิก,"11,174.56"
107-153-4376,"Amm-car.com, 19 Oct 2010,","ReadyPlanet Co., Ltd.",,Amm-car.com,133,การคลิก,"6,431.19"
721-421-8681,"Amulet24.com, Enterprise","ReadyPlanet Co., Ltd. - Jan 27, 2021",,DSA,10641,การคลิก,"18,633.80"
721-421-8681,"Amulet24.com, Enterprise","ReadyPlanet Co., Ltd. - Jan 27, 2021",,Shopping Ads,32660,การคลิก,"7,026.41"
721-421-8681,"Amulet24.com, Enterprise","ReadyPlanet Co., Ltd. - Jan 27, 2021",,Brand Keywords,2812,การคลิก,"5,485.85"
721-421-8681,"Amulet24.com, Enterprise","ReadyPlanet Co., Ltd. - Jan 27, 2021",,Potential Keywords,2364,การคลิก,"3,009.31"
300-035-6521,"Anasara.com, Google Ads Value, Start 17 Dec 2019, End 19 Dec 2020, 30000฿(12%)","ReadyPlanet Co., Ltd. - Dec 16, 2016",,Anasara_โคราช,640,การคลิก,"22,799.41"
300-035-6521,"Anasara.com, Google Ads Value, Start 17 Dec 2019, End 19 Dec 2020, 30000฿(12%)","ReadyPlanet Co., Ltd. - Dec 16, 2016",,Anasara_นครราชสีมา,239,การคลิก,"5,559.99"
300-035-6521,"Anasara.com, Google Ads Value, Start 17 Dec 2019, End 19 Dec 2020, 30000฿(12%)","ReadyPlanet Co., Ltd. - Dec 16, 2016",,GDN&RMKT,563,การคลิก,"1,767.59"
300-035-6521,"Anasara.com, Google Ads Value, Start 17 Dec 2019, End 19 Dec 2020, 30000฿(12%)","ReadyPlanet Co., Ltd. - Dec 16, 2016",,Keyword Brand,329,การคลิก,"1,009.16"
300-035-6521,"Anasara.com, Google Ads Value, Start 17 Dec 2019, End 19 Dec 2020, 30000฿(12%)","ReadyPlanet Co., Ltd. - Dec 16, 2016",,กิจกรรมที่ไม่ถูกต้อง,,,-64.86
851-919-3250,"Andamanthailand.net, Google Ads Value, Start 23 Dec 2019, End 21 Dec 2020, 21000฿(15%)","ReadyPlanet Co., Ltd. - Sep 13, 2016",,ทัวร์หลีเป๊ะ,3718,การคลิก,"20,157.45"
851-919-3250,"Andamanthailand.net, Google Ads Value, Start 23 Dec 2019, End 21 Dec 2020, 21000฿(15%)","ReadyPlanet Co., Ltd. - Sep 13, 2016",,RMKT,877,การคลิก,"1,520.00"
851-919-3250,"Andamanthailand.net, Google Ads Value, Start 23 Dec 2019, End 21 Dec 2020, 21000฿(15%)","ReadyPlanet Co., Ltd. - Sep 13, 2016",,เครดิตจากการแสดงผลเกินงบ,,,-0.50
851-919-3250,"Andamanthailand.net, Google Ads Value, Start 23 Dec 2019, End 21 Dec 2020, 21000฿(15%)","ReadyPlanet Co., Ltd. - Sep 13, 2016",,กิจกรรมที่ไม่ถูกต้อง,,,-3.17
400-661-1982,Aplusadesign.com,"ReadyPlanet Co., Ltd. - Dec 3, 2020",,สร้างสนามฟุตบอล,137,การคลิก,"3,568.80"
400-661-1982,Aplusadesign.com,"ReadyPlanet Co., Ltd. - Dec 3, 2020",,สนามฟุตซอล,2,การคลิก,19.55
434-135-7477,"Aqualine.co.th, G Pro 12 Months, End 07 Jul 2021","ReadyPlanet Co., Ltd.",,รางน้ำฝน 24 ชม.,1232,การคลิก,"15,199.83"
434-135-7477,"Aqualine.co.th, G Pro 12 Months, End 07 Jul 2021","ReadyPlanet Co., Ltd.",,ถังเก็บน้ำ 8.30-18.00,335,การคลิก,"5,220.49"
434-135-7477,"Aqualine.co.th, G Pro 12 Months, End 07 Jul 2021","ReadyPlanet Co., Ltd.",,ตะแกรงกันกลิ่น 24 ชม.,259,การคลิก,"2,672.98"
434-135-7477,"Aqualine.co.th, G Pro 12 Months, End 07 Jul 2021","ReadyPlanet Co., Ltd.",,โครงสร้างเหล็ก 8.30-18.00,132,การคลิก,"1,379.27"
434-135-7477,"Aqualine.co.th, G Pro 12 Months, End 07 Jul 2021","ReadyPlanet Co., Ltd.",,R-Dynamic Campaign (553e6b65c260002d5757d129a8421832),269,การคลิก,850.86
434-135-7477,"Aqualine.co.th, G Pro 12 Months, End 07 Jul 2021","ReadyPlanet Co., Ltd.",,หลังคา Lindab 24 ชม.,44,การคลิก,375.84
648-276-0010,Arawan45.com,648-276-0010,,กิจกรรมที่ไม่ถูกต้อง,,,-17.93
322-166-0381,"Asakorn.co.th, GoogleAdsValue, Start 29-Oct-2019","ReadyPlanet Co., Ltd. Ratchadapisek...",,Asakorn,3127,การคลิก,"16,431.72"
588-426-5486,"Assis.co.th, G Dynamic 3 months","ReadyPlanet Co., Ltd. - Jun 9, 2016",,ออกแบบภายใน-[All day 9am-10pm],2038,การคลิก,"23,897.04"
379-597-3628,"Atcinsu.com, Google Ads Value, Start 02 Oct 2019, End 03 Dec 2020, 54000฿(8%)","ReadyPlanet Co., Ltd.",,Search ทั่วไป,2770,การคลิก,"29,533.62"
379-597-3628,"Atcinsu.com, Google Ads Value, Start 02 Oct 2019, End 03 Dec 2020, 54000฿(8%)","ReadyPlanet Co., Ltd.",,Search โฟม EPS,1073,การคลิก,"14,721.08"
379-597-3628,"Atcinsu.com, Google Ads Value, Start 02 Oct 2019, End 03 Dec 2020, 54000฿(8%)","ReadyPlanet Co., Ltd.",,Search โฟมแผ่น,555,การคลิก,"5,111.45"
251-708-2650,Atriabangkok.com,"ReadyPlanet Co., Ltd. - Jul 3, 2020",,Search_ATRIA สาทร-สาธุประดิษฐ์- Manual cpc,1257,การคลิก,"28,074.01"
251-708-2650,Atriabangkok.com,"ReadyPlanet Co., Ltd. - Jul 3, 2020",,R-Dynamic Campaign (7e2b76331683d0ce13c88c3f0ed03f93),5969,การคลิก,"13,349.02"
251-708-2650,Atriabangkok.com,"ReadyPlanet Co., Ltd. - Jul 3, 2020",,GDN Custom Intent_ATRIA สาทร-สาธุประดิษฐ์ - บ้านแฝด,3639,การคลิก,"11,741.90"
251-708-2650,Atriabangkok.com,"ReadyPlanet Co., Ltd. - Jul 3, 2020",,GDN Custom Intent_ATRIA  บ้านเดี่ยว,2041,การคลิก,"9,119.58"
251-708-2650,Atriabangkok.com,"ReadyPlanet Co., Ltd. - Jul 3, 2020",,Search_ATRIA สาทร-สาธุประดิษฐ์- Manual CPC บ้านแฝด,215,การคลิก,"9,081.01"
251-708-2650,Atriabangkok.com,"ReadyPlanet Co., Ltd. - Jul 3, 2020",,GDN Topic_ATRIA สาทร-สาธุประดิษฐ์,1246,การคลิก,"5,415.58"
251-708-2650,Atriabangkok.com,"ReadyPlanet Co., Ltd. - Jul 3, 2020",,GDN Custom Intent_ATRIA  คู่แข่ง,1345,การคลิก,"2,999.36"
251-708-2650,Atriabangkok.com,"ReadyPlanet Co., Ltd. - Jul 3, 2020",,GDN Custom Intent_ATRIA  ไลฟสไตล์,820,การคลิก,"2,998.10"
251-708-2650,Atriabangkok.com,"ReadyPlanet Co., Ltd. - Jul 3, 2020",,GDN Custom Intent_ATRIA โรงเรียนนานาชาติ,501,การคลิก,"2,023.88"
251-708-2650,Atriabangkok.com,"ReadyPlanet Co., Ltd. - Jul 3, 2020",,กิจกรรมที่ไม่ถูกต้อง,,,"-1,603.95"
402-087-1321,"BB-audit.com, AdPro Value","ReadyPlanet Co., Ltd. - Oct 7, 2019",,01-Search_External Audit,495,การคลิก,"13,316.96"
376-447-3421,"BaanImmSook.com, 13 Mar 2014, 19 Apr 2019 30 Jun 2021, Invoice, Package12","ReadyPlanet Co., Ltd.",,BaanImmSook,1324,การคลิก,"4,465.19"
922-383-0893,"Backliners.com,6 Nov 17,5 Nov 18, Adpro Value","ReadyPlanet Co., Ltd. - Nov 6, 2017",,Backliners.com,1859,การคลิก,"23,439.80"
922-383-0893,"Backliners.com,6 Nov 17,5 Nov 18, Adpro Value","ReadyPlanet Co., Ltd. - Nov 6, 2017",,Backliner - Max Conv,1435,การคลิก,"20,999.79"
173-391-8717,Bangkokev.readyplanet.site,"ReadyPlanet Co., Ltd. - Nov 30, 2020",,Search_รถมอเตอร์ไซค์ไฟฟ้า,1445,การคลิก,"9,118.83"
173-391-8717,Bangkokev.readyplanet.site,"ReadyPlanet Co., Ltd. - Nov 30, 2020",,R-Dynamic Campaign (35d006f4eb186111cc47673dc39906e3),427,การคลิก,"1,326.08"
173-391-8717,Bangkokev.readyplanet.site,"ReadyPlanet Co., Ltd. - Nov 30, 2020",,กิจกรรมที่ไม่ถูกต้อง,,,-29.49
254-563-3450,Bangmodaesthetic.com,254-563-3450,,Search - เสริมหน้าอก - 2 URL,1213,การคลิก,"36,348.13"
254-563-3450,Bangmodaesthetic.com,254-563-3450,,Search - ดึงหน้า  - Web,557,การคลิก,"31,377.86"
254-563-3450,Bangmodaesthetic.com,254-563-3450,,Search - Ulthera,701,การคลิก,"31,199.80"
254-563-3450,Bangmodaesthetic.com,254-563-3450,,Youtube - Timeless Beauty,172909,การคลิก,"27,490.85"
254-563-3450,Bangmodaesthetic.com,254-563-3450,,Search - Filler,830,การคลิก,"23,895.35"
254-563-3450,Bangmodaesthetic.com,254-563-3450,,Search - เสริมสะโพก - Web,285,การคลิก,"21,017.96"
254-563-3450,Bangmodaesthetic.com,254-563-3450,,Youtube - ความรู้สึก คุณวีนา หลังเสริมหน้าอก,12906,การคลิก,"5,092.95"
254-563-3450,Bangmodaesthetic.com,254-563-3450,,Search - เสริมจมูก - Web,221,การคลิก,"4,559.85"
254-563-3450,Bangmodaesthetic.com,254-563-3450,,Search - ปากกระจับ - Web,210,การคลิก,"4,487.72"
254-563-3450,Bangmodaesthetic.com,254-563-3450,,Video - คลิปรีวิวดึงหน้า,39543,การแสดงผล,"2,455.37"
254-563-3450,Bangmodaesthetic.com,254-563-3450,,กิจกรรมที่ไม่ถูกต้อง,,,-9.89
470-437-1701,Bellpack.co.th,470-437-1701,,Search [200],334,การคลิก,"2,996.72"
782-091-1875,Berlin-medical.com,782-091-1875,,Search-เตียงผู้ป่วย - คนไข้,681,การคลิก,"15,898.76"
595-737-3784,"Beyondlab.co.th, Google Ads Value, Start 16 Apr 2020, End 12 Nov 2020, 104000฿(6.5%)","ReadyPlanet Co., Ltd. - Feb 15, 2018",,ผลิตอาหารเสริม,2278,การคลิก,"59,840.24"
595-737-3784,"Beyondlab.co.th, Google Ads Value, Start 16 Apr 2020, End 12 Nov 2020, 104000฿(6.5%)","ReadyPlanet Co., Ltd. - Feb 15, 2018",,เน้นอันดับ,223,การคลิก,"24,164.00"
595-737-3784,"Beyondlab.co.th, Google Ads Value, Start 16 Apr 2020, End 12 Nov 2020, 104000฿(6.5%)","ReadyPlanet Co., Ltd. - Feb 15, 2018",,Custom intent-Url คู่แข่ง,8311,การคลิก,"9,001.74"
