Source,Customer ID,Custumer,Payment Method,Note
Mew,1217095775,baidu (hongkong) limited,Postpaid-corporate,
Mew,1217118093,บริษัท จีเอ็มเอ็ม แกรมมี่ จำกัด(มหาชน),Postpaid-corporate,
Mew,1217151069,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),Postpaid-corporate,
Mew,1217154773,บริษัท เจ. เอส. พี. พร็อพเพอร์ตี้ จากัด (มหาชน),Postpaid-corporate,
Mew,1217186538,บริษัท เอิร์ธแคร์ จำกัด(สำนักงานใหญ่),Postpaid-corporate,
Mew,1217188634,บริษัท ลลิล พร็อพเพอร์ตี้ จำกัด (มหาชน),Postpaid-corporate,
Mew,1217192263,smilemedicalclinic,Postpaid-corporate,
Mew,1217222784,บริษัท ไปรษณีย์ไทย จำกัด,Postpaid-corporate,
Mew,1217250844,บริษัท ไนน์ตี้ไนน์ เอสเตท จำกัด,Postpaid-corporate,
Mew,1217259430,การประปานครหลวง (อาคารสำนักงานใหญ่),Postpaid-corporate,
Mew,1217287962,บริษัท เคดีเอ็น จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217305182,บริษัท พฤกษา เรียลเอสเตท จำกัด (มหาชน) สำนักงานใหญ่,Postpaid-corporate,
Mew,1217307498,บริษัท มาเบล กรุ๊ป จำกัด,Postpaid-corporate,
Mew,1217325506,บริษัท มารวย เรียลเอสเตท จํากัด,Postpaid-corporate,
Mew,1217333878,บริษัท แผ่นดินทอง พร็อพเพอร์ตี้ ดีเวลลอปเม้นท์ จำกัด (มหาชน),Postpaid-corporate,
Mew,1217342517,บริษัทโปรแอคทีฟ มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),Postpaid-corporate,
Mew,1217346969,บริษัทเค.ซี.พร็อพเพอร์ตี้ จำกัด (มหาชน),Postpaid-corporate,
Mew,1217374846,บริษัท เอ็ม เอส ไอ จี ประกันภัย (ประเทศไทย) จำกัด (มหาชน),Postpaid-corporate,
Mew,1217374985,บริษัท สเก็ตเชอร์ส(ไทยแลนด์) จำกัด,Postpaid-corporate,
Mew,1217375080,ไปรษณีย์ไทย จำกัด - สำนักงานใหญ่,Postpaid-corporate,
Mew,1217375841,บริษัท เหลืองรัศมี จำกัด,Postpaid-corporate,
Mew,1217375842,บมจ. ตลาดสัญญาซื้อขายล่วงหน้า (ประเทศไทย),Postpaid-corporate,
Mew,1217375875,บริษัท เอสเอฟ ดีเวลอปเม้นท์ จำกัด,Postpaid-corporate,
Mew,1217375881,บริษัท อินเตอร์มาร์ค บิสซิเนส จำกัด,Postpaid-corporate,
Mew,1217375882,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217375890,Macquarie Securities (Thailand) Limited,Postpaid-corporate,
Mew,1217375893,บริษัท เอ็นอีซี คอร์ปอเรชั่น (ประเทศไทย) จำกัด,Postpaid-corporate,
Mew,1217375900,บริษัท ลลิล พร็อพเพอร์ตี้ จำกัด (มหาชน),Postpaid-corporate,
Mew,1217375906,บริษัท ออลล์ อินสไปร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),Postpaid-corporate,
Mew,1217375975,บริษัท ยูไนเต็ด โฮมส์ จำกัด,Postpaid-corporate,
Mew,1217376914,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่) สำนักงานใหญ่,Postpaid-corporate,
Mew,1217377353,ไปรษณีย์ไทย จำกัด - สำนักงานใหญ่,Postpaid-corporate,
Mew,1217377810,บริษัท ยัสปาลแอนด์ซันส์ จำกัด,Postpaid-corporate,
Mew,1217378326,บริษัท พีทีเอฟ เรียลตี้(2017) จำกัด,Postpaid-corporate,
Mew,1217378971,บริษัทจีเอ็มเอ็ม แกรมมี่ จำกัด (มหาชน),Postpaid-corporate,
Mew,1217379324,ไปรษณีย์ไทย จำกัด - สำนักงานใหญ่,Postpaid-corporate,
Mew,1217381624,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217381628,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217381629,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217381718,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217382274,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217382965,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217383887,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217384682,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217387955,บริษัท ไรส์ แอคเซล จำกัด,Postpaid-corporate,
Mew,1217388307,บริษัท เด็กซ์เตอร์ แบงค์ค็อก จำกัด,Postpaid-corporate,
Mew,1217388978,บริษัท ออริจิ้น อีอีซี จำกัด,Postpaid-corporate,
Mew,1217390257,บริษัท ออริจิ้น แกรนด์ จำกัด,Postpaid-corporate,
Mew,1217390302,บริษัท ออริจิ้น อีอีซี จำกัด,Postpaid-corporate,
Mew,1217390423,บริษัท ฮิวแมนิก้า จำกัด (มหาชน),Postpaid-corporate,
Mew,1217390452,บริษัท ไปรษณีย์ไทย จำกัด,Postpaid-corporate,
Mew,107537000955,บริษัทจีเอ็มเอ็ม แกรมมี่ จำกัด (มหาชน),Postpaid-corporate,
Mew,1217388978,บริษัท ออริจิ้น คอนโดมิเนียม จำกัด,Postpaid-corporate,
Grandadmin -Transfer Account Max to RP 2019,1129370,บริษัท ที.แมน ฟาร์มา จำกัด,Postpaid-corporate,
1.Billing Information_Pre&Postpaid,11034120,บริษัท มาสเตอร์คูล อินเตอร์เนชั่นแนล จำกัด (มหาชน),Postpaid-corporate,
ตารางการวางบิล-รับเช็ค (MAX),113126394,"Optimum Media Direction (Thailand) Co.,Ltd.",Postpaid-corporate,
Grand Admin,121011439,บริษัท คาซ่า วิลล์ (ระยอง 2553) จำกัด,Postpaid-corporate,
แคร์ (พนักงานบัญชี),217375080,ไปรษณีย์ไทย จำกัด สำนักงานใหญ่,Postpaid-corporate,
JeaB,1216902446,บริษัท เรดดี้แพลนเน็ต ทราเวลเทค จำกัด,Postpaid-corporate,
Grand Admin,1216924540,"delight solution co., ltd.",Postpaid-corporate,
Grandadmin -Transfer Account Max to RP 2019,1216926452,การไฟฟ้านครหลวง สำนักงานใหญ่,Postpaid-corporate,
Mew,1217391031,บริษัท นิรันดร์พลาซ่า จำกัด,Postpaid-corporate,
Grand Admin,1216977665,บริษัท ออริจิ้น พร็อพเพอร์ตี้ จำกัด (มหาชน),Postpaid-corporate,
Mew,1217391026,บริษัท คาซ่าวิลล์ จำกัด,Postpaid-corporate,
Mew,1217296121,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),Postpaid-corporate,
Grand Admin,1217199549,ตลาดหลักทรัพย์แห่งประเทศไทย (สำนักงานใหญ่),Prepaid-normal,Postpaid-corporate มีเงินที่เหลือยังใช้ไม่หมด
ตารางการวางบิล-รับเช็ค จากลูกค้า (RP),1217206874,ธนาคารไทยพาณิชย์ จำกัด(มหาชน),Postpaid-corporate,
ตารางการวางบิล-รับเช็ค จากลูกค้า (RP),1217263439,บริษัท สรรพสินค้าเซ็นทรัล จำกัด,Postpaid-corporate,
SAP,1217357562,ตลาดหลักทรัพย์แห่งประเทศไทย,Prepaid-normal,Postpaid-corporate มีเงินที่เหลือยังใช้ไม่หมด
SAP,1217374495,บริษัท อินสตรอน (ประเทศไทย) จำกัด,Postpaid-corporate,
แคร์ (พนักงานบัญชี),1217375884,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Mew,1217031140,บริษัท ออลล์ อินสไปร์ ดีเวลลอปเม้นท์ จำกัด (มหาชน),Postpaid-corporate,
ตารางการวางบิล-รับเช็ค จากลูกค้า (RP),1217375913,JustCo (Bangkok) Co. Ltd,Postpaid-corporate,
ตารางการวางบิล-รับเช็ค (MAX),1217378166,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
ตารางการวางบิล-รับเช็ค (MAX),1217379285,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
ตารางการวางบิล-รับเช็ค (MAX),1217379293,บริษัท เดอะ ซีเคร็ต ฟาร์ม จำกัด (สำนักงานใหญ่),Postpaid-corporate,
Wallet,1217384101,บริษัท อสมท จำกัด (มหาชน),Postpaid-corporate,
Grandadmin -Transfer Account Max to RP 2019,1217389923,บริษัท ทีซี คาร์ โซลูชั่นส์ (ไทยแลนด์) จำกัด,Postpaid-corporate,
Grandadmin -Transfer Account Max to RP 2019,1217390557,บริษัท พีทีที ดิจิตอล โซลูชั่น จำกัด,Postpaid-corporate,
Grandadmin -Transfer Account Max to RP 2019,1217391027,บริษัท คาซ่าวิลล์ จำกัด,Postpaid-corporate,
Grandadmin -Transfer Account Max to RP 2019,1217391028,บริษัท เดอะ คอนฟิเด้นซ์ จำกัด,Postpaid-corporate,
Grandadmin -Transfer Account Max to RP 2019,1217391029,บริษัท คาซ่าวิลล์ (ระยอง 2553) จำกัด,Postpaid-corporate,
Grandadmin -Transfer Account Max to RP 2019,1217391286,บริษัท ช้อปปี้ (ประเทศไทย) จำกัด,Postpaid-corporate,
Grandadmin -Transfer Account Max to RP 2019,12169023410,บริษัท ทเวนตี้โฟร์ ช้อปปิ้ง จำกัด,Postpaid-corporate,
Grand Admin,12169798830,ตลาดหลักทรัพย์แห่งประเทศไทย,Prepaid-normal,Postpaid-corporate มีเงินที่เหลือยังใช้ไม่หมด
Grand Admin,12172634390,บริษัท สรรพสินค้าเซ็นทรัล จำกัด,Postpaid-corporate,
Grand Admin,12173714740,กองทุนบำเหน็จบำนาญข้าราชการ,Postpaid-corporate,
Grand Admin,12173759755,บริษัท แกรนด์ พาราไดส์ พร็อพเพอร์ตี้ จำกัด,Postpaid-corporate,
Grand Admin,12173759756,บริษัท ไพร์ม พลัส แอสเซ็ท จำกัด ( สำนักงานใหญ่ ),Postpaid-corporate,
Mew,1217391023,บริษัท ไพร์ม พลัส แอสเซ็ท จำกัด ( สำนักงานใหญ่ ),Postpaid-corporate,
Grand Admin,1217375902,บริษัท บิวตี้บี จำกัด,Prepaid-normal,
Grand Admin,1217028521,บริษัท ไอเอสเอส คอนซัลติ้ง (ประเทศไทย) จำกัด,Prepaid-normal,
Grand Admin,1216917899,บริษัท ศูนย์รักษาสายตา จำกัด,Prepaid-normal,
Grand Admin,1123814,บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด (มหาชน),Prepaid-normal,
Wallet,1217361743,บริษัท เมอร์ค จำกัด,Prepaid-normal,
Wallet,1217024793,บริษัท รสิกา พร็อพเพอร์ตี้ จำกัด,Prepaid-normal,
Grand Admin,1217196039,บริษัท โซฟา เมคเกอร์ จำกัด,Prepaid-normal,
Grand Admin,1216955008,บริษัท อีสออน เอ็นเทอร์ไพรส์ จำกัด,Prepaid-normal,
Grand Admin,1217187177,บริษัท ฟู้ดแลนด์ซุปเปอร์มาร์เก็ต จำกัด (สำนักงานใหญ่),Prepaid-normal,
Grand Admin,113119065,บริษัท ดิเอเจ้นท์ (พรอพเพอร์ตี้ เอ็กซ์เพิร์ท) จำกัด,Prepaid-normal,
Grand Admin,1216925511,บริษัท อีเว้นท์ โซลูชั่นส์ จำกัด,Prepaid-normal,
Grand Admin,1217391041,บริษัท ควอลิตี้เฮ้าส์ จำกัด (มหาชน),Postpaid-corporate,
JeaB,1217391030,บริษัทไบรท์ ดีเวลลอปเมนท์ กรุงเทพ จำกัด,Postpaid-corporate,
Grand Admin,1217391032,บริษัท ออริจิ้น คอนโดมิเนียม จำกัด,Postpaid-corporate,
Grand Admin,1131205200,บริษัท พฤกษา เรียลเอสเตท จำกัด (มหาชน),Postpaid-corporate,
Grand Admin,12169528560,บริษัท เอเซียบุ๊คส จำกัด (สำนักงานใหญ่),Postpaid-corporate,
บริษัทเครือเดียวกัน,12169218120,บริษัท เอเชียน ไฟย์โตซูติคอลส์ จํากัด (มหาชน),Postpaid-corporate,
บริษัทเครือเดียวกัน,1217391035,บริษัท อนันดา ดีเวลลอปเม้นท์ วัน จำกัด,Postpaid-corporate,
Grand Admin,1217391021,บริษัท ยูไนเต็ด โฮมส์ จำกัด,Postpaid-corporate,
Grand Admin,1217391022,บริษัท กรุงเทพบ้านและที่ดิน จำกัด (มหาชน),Postpaid-corporate,
1.Billing Information_Pre&Postpaid,1217391024,บริษัท เฟิร์ส แสควร์ จำกัด,Postpaid-corporate,
Group ลูกค้า,1217391025,บริษัท พรสันติ จำกัด,Postpaid-corporate,
Mew,1217356656,บริษัท สยามเฮลท์ กรุ๊ป จำกัด,Postpaid-corporate,
Mew,1217391649,บริษัท จีเอ็มเอ็ม กู๊ดส์ จำกัด,Postpaid-corporate,
Mew,1217391715,บริษัท เยเนอรัล แคร์ โปรดักส์ จำกัด,Postpaid-corporate,
